university,academic_year,academic_year_label,department_code,course_number,title,description,broad_area,level,progressive_signal,western_canon_signal,climate_narrow_signal,climate_broad_signal,cross_listed,deduplicated
wfu,2026,2026-2027,ACP,101,Preparing for Academic Competition.,"Prepares students for academic quiz competition (quiz bowl) via the study of academic material in history, science, literature, mythology, philosophy, religion, social sciences, fine arts, geography, current events and other fields; via writing questions for academic competition tournaments; and via on-campus competition. May be repeated for a total of 3 hours. Pass/Fail only.",Other,undergraduate,False,False,False,False,False,True
wfu,2026,2026-2027,ACC,110,Introduction to Financial and Managerial Accounting.,"Basic Accounting concepts and procedures used in the preparation of financial reports issued to stockholders, creditors and managers of business enterprises. Open only to Juniors and Seniors not majoring in the Schools of Business. Cannot be substituted for Accounting 111.",Professional,undergraduate,False,False,False,False,False,True
wfu,2026,2026-2027,ACC,111,Introductory Financial Accounting.,"The overall goal of this course is to provide students with an introduction to the theory and procedures underlying financial accounting and reporting. The fundamentals of financial statement analysis will be introduced in an effort to emphasize what the numbers in these financial statements mean and why they matter. Areas of emphasis include the preparation of and theoretical foundation for the financial statements (i.e., the income statement, the balance sheet, the statement of retained earnings, and the statement of cash flows), the accounting process, and the measurement and reporting of cash, receivables, inventory, property, plant, and equipment, intangible assets, short- and long-term liabilities, and stockholders’ equity. P-Sophomore standing.",Professional,undergraduate,True,False,False,False,False,True
wfu,2026,2026-2027,ACC,200,Analytics in the Accounting Profession.,"This course involves the study of data analytics and its applications in accounting contexts, with an emphasis on data preparation, modeling, analysis and interpretation, and visualization. The course will place heavy emphasis on the use of Microsoft Excel to support accounting analysis and decision making. Other software packages to be explored include Tableau, Alteryx, and Power BI. P— ACC 111 or equivalent.",Professional,undergraduate,False,False,False,False,False,True
wfu,2026,2026-2027,ACC,211,Intermediate Accounting I.,"Study of the conceptual framework underlying financial accounting in the United States as well as the financial accounting standards setting process and the basic corporate financial statements. Financial accounting and reporting issues associated with receivables, inventories, property, plant, and equipment, and intangible assets are also examined. P-minimum of C in ACC 111 .",Professional,undergraduate,False,False,False,False,False,True
wfu,2026,2026-2027,ACC,212,Intermediate Accounting II.,"Examination of financial accounting and reporting issues associated with current liabilities and contingencies, long-term liabilities, stockholders' equity, dilutive securities and earnings per share, income taxes, pensions, and postretirement benefits, leases, financial statement errors, and the statement of cash flows. P-Minimum of C in ACC 211 .",Professional,undergraduate,True,False,False,False,False,True
wfu,2026,2026-2027,ACC,221,Introductory Management Accounting.,"Study of the concepts fundamental to management accounting which aid in decision-making, performance evaluation, and planning and control. The topics covered include product costing systems, budgeting, differential and breakeven analysis, responsibility accounting, cost allocation, and management accounting reports. P-Minimum of C in ACC 111 .",Professional,undergraduate,False,False,False,False,False,True
wfu,2026,2026-2027,ACC,237,Taxes and Their Role in Business and Personal Decisions.,"Review of legal and accounting concepts associated with the federal taxation of personal income. Topics examined include the regular and alternative minimum tax models as well as gross income, capital gains, property transactions, deductions, and credits. P- Minimum of C in ACC 111 or prerequisite override required.",Professional,undergraduate,False,False,False,False,False,True
wfu,2026,2026-2027,ACC,311,Advanced Financial Accounting.,"A comprehensive study of business combinations, the equity method of accounting for investments in common stock, and consolidated financial statement preparation. Also covered are accounting theory as applied to special problems such as accounting for partnerships and international accounting issues including foreign currency financial statement translation. In addition, government and nonprofit accounting are introduced in this course. P- ACC 211 and 212 with a grade of C or better.",Professional,undergraduate,True,False,False,False,False,True
wfu,2026,2026-2027,ACC,321,Accounting for Managerial Decision Making.,"Provides students with advanced exposure to topics in cost structure management, planning, control, and decision making. Primary emphasis is placed on developing students' appreciation for how financial modeling and strategic analysis work together in unified decision making. To develop students as financial leaders, the foundation of the course will be the Information Value Chain promulgated by accounting academic researchers (e.g. Blocher 2009) and accounting practitioner organizations (Institute of Management Accountants). P- ACC 221 with a grade of C or better.",Professional,undergraduate,False,False,False,False,False,True
wfu,2026,2026-2027,ACC,337,Federal Taxation of Corporations and Partnerships.,"Review of federal taxation principles associated with the organization, operation, and dissolution of corporate partnership and tax exempt organizations. Introduction to federal estate and gift taxes and to income taxation of trusts and estates. P— ACC 237 or equivalent.",Professional,undergraduate,False,False,False,False,False,True
wfu,2026,2026-2027,ACC,351,Accounting Information Systems.,"Study of the design and operation of accounting systems including the revenue, expenditure, and administrative transaction cycles. Emphasis is on the necessary controls for reliable data. P- BEM 251 , and a minimum of C in ACC 211 ; or prerequisite override required.",Professional,undergraduate,False,False,False,False,False,True
wfu,2026,2026-2027,ACC,352,Introduction to Auditing.,"Examination of basic auditing concepts and practices, and the auditor's professional responsibilities. Emphasis is on auditing standards and the auditing procedures commonly used in public accounting. P-minimum of C in ACC 211 ; C- ACC 351 ; or prerequisite override required.",Professional,undergraduate,False,False,False,False,False,True
wfu,2026,2026-2027,ACC,378,Individualized Reading and Research.,Directed study in specialized areas of accountancy. P-Prerequisite override required.,Professional,undergraduate,False,False,False,False,False,True
wfu,2026,2026-2027,ACC,390,Professional and Ethical Responsibilities of Accountants.  (1.5 h),"This course begins the process of moving students along a continuum from student to emerging accounting professional. Students develop an understanding of the accounting profession's broad societal purposes, as well as its ethical and professional standards and practices, along with an understanding of their various responsibilities as professional accountants - to the profession, to their clients, and to the public at large. Students reflect on the meaning and demands of professional accounting practice so as to develop an emerging professional identity consistent with the profession's broad purposes and ethical standards and practices. P-Senior standing or prerequisite override required.",Professional,undergraduate,True,False,False,False,False,True
wfu,2026,2026-2027,ACC,391,Professional Accounting Internship.,"Professional accounting field work, under the direction of a faculty member. Students gain relevant practical experience which builds on prior coursework and provides an experiential knowledge base for coursework. Pass/Fail. P- ACC 390 . C- ACC 392 .",Professional,undergraduate,False,False,False,False,False,True
wfu,2026,2026-2027,ACC,392,Professional and Ethical Responsibilities of Accountants - Internship Practicum.  (1.5 h),"Students apply, reinforce, and extend the themes and topics of ACC 390 in the context of a professional accounting internship. P- ACC 390 (Not open to students who have taken ACC 393 )",Professional,undergraduate,False,False,False,False,False,True
wfu,2026,2026-2027,ACC,393,Professional and Ethical Responsibilities of Accountants - Case Study Practicum.  (1.5 h),"Students use a combination of historical and fictional case studies to apply, reinforce, and extend the themes and topics of ACC 390 . P- ACC 390 (Not open to students who have taken ACC 392 )",Professional,undergraduate,False,False,False,False,False,True
wfu,2026,2026-2027,AAS,100,Introduction to African American and African Studies.,"Introduces the history and evolution of the discipline, key scholars, ideas, and themes, and central disciplinary questions in African American and African Studies.",Humanities,undergraduate,False,False,False,False,False,True
wfu,2026,2026-2027,AAS,103,Introduction to Jazz.,"Survey of jazz music from its origins to the present in cultural and historical contexts. Also listed as MSC 103 . (CD, D)",Humanities,undergraduate,False,False,False,False,False,True
wfu,2026,2026-2027,AAS,105,Africa in World History.,"Examines the continent of Africa from prehistory to the present in global perspective, as experienced and understood by Africans themselves. Also listed as HST 105 . (CD, D)",Humanities,undergraduate,False,False,False,False,False,True
wfu,2026,2026-2027,AAS,106,Atlantic World since 1500.,"Examines the major developments that have linked the civilizations bordering the Atlantic Ocean from 1500 to the present. Themes include exploration; commerce; European colonization and indigenous responses; disease; religious conversion and revivalism; mestizo and creole culture; imperial warfare; enlightenment; revolution; slavery and abolition; extractive economies; nationalism; 'scientific racism;' invented traditions; the black diaspora and negritude; decolonization; the Cold War; segregation and apartheid; dictatorship; neoliberalism; and globalization. Also listed as HST 110 . (CD, D)",Humanities,undergraduate,True,True,False,False,False,True
wfu,2026,2026-2027,AAS,110,Introduction to Africana Philosophy.,"Introduces the history and development of Africana philosophy and explores significant issues, themes, and texts in the field.",Humanities,undergraduate,False,False,False,False,False,True
wfu,2026,2026-2027,AAS,115,Introduction to the Civil Rights Movement.,"Introduces the rise of the U.S. Civil Rights Movement in the 1950s and 1960s, discussing its key leaders, examining questions of power, freedom, and democracy, and engaging the movement’s enduring lessons for Black politics and the ongoing pursuit of justice.",Humanities,undergraduate,False,False,False,False,False,True
wfu,2026,2026-2027,AAS,120,Introduction to Black Women's Studies.,Introduces the history and development of Black Women's Studies and explores significant themes and topics in the field.,Humanities,undergraduate,False,False,False,False,False,True
wfu,2026,2026-2027,AAS,130,Black Queer Studies.,"Examines critical topics, themes, and issues in Black Queer and Trans life, thought and culture.",Humanities,undergraduate,True,False,False,False,False,True
wfu,2026,2026-2027,AAS,140,Introduction to Black Religion.,"Introduces the diverse histories, thoughts, practices and movements within African American religious experience by engaging the theology, philosophy, literature, and cultural expression of how religion shapes Black life, freedom struggles, and community.",Humanities,undergraduate,True,False,False,False,False,True
wfu,2026,2026-2027,AAS,170,African Diaspora Studies.,"Survey of the key themes, topics, and linkages of the histories, cultures, politics, and ideas of continental and diasporic African communities across space and time.",Humanities,undergraduate,True,False,False,False,False,True
wfu,2026,2026-2027,AAS,190,Mixed Race Studies.,"Surveys the histories, experiences, and cultures of mixed heritage, mixed race, and transnational adoptee individuals, families, and communities.",Humanities,undergraduate,True,False,False,False,False,True
wfu,2026,2026-2027,AAS,200,Theories and Methods in African American and African Studies.,"Examines the major analytical, conceptual, methodological, and theoretical frameworks in African American and African Studies and interdisciplinary approaches that inform the discipline.",Humanities,undergraduate,False,False,False,False,False,True
wfu,2026,2026-2027,AAS,202,"Policing, Politics, and Prison.","Surveys the history, practices, politics, and discourses of prisons, policing, and the development of the carceral state.",Humanities,undergraduate,False,False,False,False,False,True
wfu,2026,2026-2027,AAS,205,Black Cultural Studies.,"Interdisciplinary exploration of the conceptual, material, and theoretical dimensions of Black Cultural Studies and the key debates informing the politics and cultures of representation in African American and African diasporic cultural productions.",Humanities,undergraduate,False,False,False,False,False,True
