university,academic_year,academic_year_label,department_code,course_number,title,description,broad_area,level,progressive_signal,western_canon_signal,climate_narrow_signal,climate_broad_signal,cross_listed,deduplicated
clayton,2026,2026-2027,ACCT,2101,Principles of Financial Acct,"Introduction to the concepts, principles and procedures pertaining to the preparation, analysis and interpretation of income statement, retained earnings statement, balance sheet and cash flow statements for service and merchandising companies with introduction to the measurement of inventory, receivables liabilities, long-term assets and stockholders' equity.",Professional,undergraduate,True,False,False,False,False,True
clayton,2026,2026-2027,ACCT,2102,Principles Managerial Acct,"Introductions to the concepts, techniques and procedures pertaining to the preparation, analysis and interpretation of accounting information for use by managers for planning, control and other business decisions with emphasis on product costing, cost analysis, cost volume profit analysis, budgeting, standard costing, performance measurement relevant cost for non-routine decisions and analysis of financial statements.",Professional,undergraduate,False,False,False,False,False,True
clayton,2026,2026-2027,ACCT,3110,Managerial Cost Accounting,"Cost accounting principles and techniques applied to job
order and process types of industry, planning and control
of the elements of production costs, and preparation of
internal cost reports for management in manufacturing
and other environments.  Continues standard costing concepts
and variance analysis applied in the principles of
managerial accounting course, ACT 2102.  Use of cost
information for business policy implementation and
management purposes is stresses, as well as current
cost topics.
Admission to the School of Business required.",Professional,undergraduate,False,False,False,False,False,True
clayton,2026,2026-2027,ACCT,3250,Taxation of the Individual,"An introduction to the study of taxation for individuals and business entities. This course focuses on federal and state tax laws and regulations, as they pertain to both individuals and business entities. Tax forms and software are used to determine the appropriate taxes for cases involving individual and business scenarios. Tax strategies and implications for personal and business decision-making and financial planning are analyzed. Professional ethics involving tax practice are emphasized.",Professional,undergraduate,False,False,False,False,False,True
clayton,2026,2026-2027,ACCT,3351,Intermediate Financial Acct. I,"A continuation of Principles of Financial Accounting with emphasis on the accounting environment, the theoretical structure of financial accounting and its conceptual framework, the different components of the accounting cycle for processing transactions and preparation of the income statement, the statement of retained earnings, the statement of stockholders' equity, the balance sheet, and the statement of cash flows. Students will also learn to apply present value and future value concepts in accounting, as well as accounting for cash, receivables, inventories, acquisition and disposition of property, plant, and equipment, depreciation, impairments, depletion, and intangible assets. Excel and its financial functions and the FASB Codification Database will be applied.",Professional,undergraduate,True,False,False,False,False,True
clayton,2026,2026-2027,ACCT,3352,Interm. Financial Acct. II,"A continuation of ACCT 3351 with emphasis on the measurement, recording and reporting of debt and equity and the interdependencies of change effects on income determination.  Students will learn to account for dilutive securities and earnings per share, investments, revenue recognition, income taxes, pensions, leases, and accounting changes.  They will also learn to analyze errors and learn about the statement of cash flows as well as full disclosure in financial reporting.",Professional,undergraduate,True,False,False,False,False,True
clayton,2026,2026-2027,ACCT,4101,Data Analytics for Accountancy,"Data Analytics Foundations for Accountancy I will enhance students’ understanding of the role of information technology and data analytics in the accounting environment. The focus includes the examination of “big data” involving accounting information and analytic techniques for decision-making. Emphasis on how data (financial, managerial, archival) serves as the basis for the functional areas of accounting and analytics. Students will study the analysis of accounting information and the application of data analytic tools (such as: Excel, Tableau, Microsoft BI, etc.). Students will learn accounting data concepts related to but not limited to, extraction, transformation, modeling, loading, analysis, communication, and visualizations. This course can be used to fulfill the educational requirements to sit for the CPA examination.",Professional,undergraduate,False,False,False,False,False,True
clayton,2026,2026-2027,ACCT,4110,Advanced Managerial Cost Acct,"Emphasis on the advanced and emerging issues pertaining to the nature, objectives and procedures of cost analysis and control; theories of cost allocation; and uses of accounting information for decision making.",Professional,undergraduate,False,False,False,False,False,True
clayton,2026,2026-2027,ACCT,4210,Volunteer Income Tax Prep,"Students will be involved in all aspects of tax planning and preparation, and in program administration. Students will also participate in presentations in conjunction with Earned Income Tax Credit Day, and will prepare a memorandum dealing with a tax preparer ethical issue.",Professional,undergraduate,False,False,False,False,False,True
clayton,2026,2026-2027,ACCT,4250,Taxation of Business Entities,"An advanced study of taxation for individuals and business entities.  This course focuses on advanced concepts of tax laws and regulations, including the impact of taxation.  Tax strategies and implications for individual and business decision-making and financial planning are analyzed.  Tax research methodologies are explored.  Professional ethics involving tax practice are emphasized.",Professional,undergraduate,False,False,False,False,False,True
clayton,2026,2026-2027,ACCT,4330,Accounting Information Systems,"A study of the fundamentals of accounting information systems.  Major topics include processes, documents, and internal controls within accounting systems; documentation of accounting systems with system flowcharts and data flow diagrams; analysis, design, and implementation of accounting systems; transaction processing using accounting software and database management system; and effects of information technology and e-business on the accounting profession.  Hands-on experience with several accounting and business software is emphasized.",Professional,undergraduate,False,False,False,False,False,True
clayton,2026,2026-2027,ACCT,4352,Advanced Financial Accounting,"Emphasis on financial reporting topics encountered in current practice. The theory of the firm is explored relative to investing and financing accountability and other issues of business combinations and divestiture. Special purpose and variable interest entities and their related reporting and disclosure are stressed. Practice applications with integrated financial, managerial and income tax accounting cases may be included.",Professional,undergraduate,False,False,False,False,False,True
clayton,2026,2026-2027,ACCT,4440,Govern. and Non-Profit Acct,"This course covers financial and managerial accounting and reporting for Federal, State and local governments and non-governmental non-profit organizations such as hospitals and universities.  Accounting Information Systems concepts and auditing of these organizations are also included.",Professional,undergraduate,False,False,False,False,False,True
clayton,2026,2026-2027,ACCT,4470,Forensic Accounting,"This course provides an overview of forensic and investigative accounting, including providing an understanding of the nature and development of forensic accounting, an understanding of fraudulent financial reporting and employee fraud and how to detect and prevent these accounting crimes, courtroom procedures and litigation management and support, cybercrime management, and business valuations. Included in course discussion are indirect methods of reconstructing income, money laundering, computation of economic damages, and forensic accounting in action",Professional,undergraduate,False,False,False,False,False,True
clayton,2026,2026-2027,ACCT,4480,Auditing & Assurance Services,"The culminating, capstone baccalaureate accounting experience through study of theory and practice of auditing and assurance services. Topics include the accounting profession, ethics, errors irregularities, illegal acts and related liability, accounting and review standards, auditing standards and procedures, and international accounting and auditing. Students experience workpaper development, test work, and report letter drafting. Risk and cycles, internal control, technology applications, and sampling approaches are illustrated. Integration with managerial, tax, and systems issues is achieved through assessment of external communications required in the contemporary practice environment.",Professional,undergraduate,False,False,False,False,False,True
clayton,2026,2026-2027,ACCT,4800,Selected Topics in Accounting,A detailed examination of selected topics in the profession of Accounting.,Professional,undergraduate,False,False,False,False,False,True
clayton,2026,2026-2027,ACCT,4850,Acct. Intern./Co-op Education,"Individually designed learning program involving accounting field experience in private, public, or education sector. Program of study and student supervision must be approved by the Dean of the College of Business or designee.",Professional,undergraduate,False,False,False,False,False,True
clayton,2026,2026-2027,ACCT,4851,Accounting Internship/Co-op,"Individually designed learning program involving accounting field experience in private, public, or education sector. Program of study and student supervision must be approved by the Dean of the College of Business or designee. Prerequisite: Sophomore or higher standing Accounting Major.",Professional,undergraduate,False,False,False,False,False,True
clayton,2026,2026-2027,ACCT,4852,Accounting Internship/Co-op,"Individually designed learning program involving accounting field experience in private, public, or education sector. Program of study and student supervision must be approved by the Dean of Business or designee.",Professional,undergraduate,False,False,False,False,False,True
clayton,2026,2026-2027,ACCT,4853,Accounting Internship/Co-op,"Individually designed learning program involving accounting field experience in private, public, or education sector. Program of study and student supervision must be approved by the Dean of Business or designee.",Professional,undergraduate,False,False,False,False,False,True
clayton,2026,2026-2027,ACCT,4900,Indep. Study/Directed Research,Special work arranged in consultation with instructor. Requires approval of the Dean or Associate Dean.,Professional,undergraduate,False,False,False,False,False,True
clayton,2026,2026-2027,ACCT,4901,Indep. Study/Directed Research,Special work arranged in consultation with instructor. Requires approval of the Dean or Associate Dean.,Professional,undergraduate,False,False,False,False,False,True
clayton,2026,2026-2027,ACCT,4902,Indep. Study/Directed Research,Special work arranged in consultation with instructor. Requires approval of the Dean or Associate Dean.,Professional,undergraduate,False,False,False,False,False,True
clayton,2026,2026-2027,ADMN,3101,Supervision for the Workplace,"Supervision has become a complex undertaking of a growing body of law relating to employee rights, safety, and health; a national trend toward more conflict and tolerance in the work place; the persistent problems associated with substance abuse; and the demand from the public for ethical business practices.  This survey course will provide knowledge and skills needed for managers, team leaders, coaches, and administrators to be successful supervisors.",Professional,undergraduate,False,False,False,False,False,True
clayton,2026,2026-2027,ADMN,3102,Quality Issues in Tech,"This course provides a background of production and performance quality management.  Selected topics of production, operations and quality management such as team building, work simplification, statistical control, work measurement and others are included in this course.  BSUR 3102 is an application based course, drawing heavily from examples in widely recognized companies such as Honda, DHL, McDonalds, Motorola, Nucor and United Airlines.  This is a 100% on-line course. There are no class meetings. Students will need to carefully plan and manage their study time in order to be successful in this class.",Professional,undergraduate,False,False,False,False,False,True
clayton,2026,2026-2027,ADMN,3104,Ethics for Adm and Tech Mgrs,"This course will use case studies in which ethical  decisions were made. Each case will be examined  from the point of view of each stakeholder (ex.  consumers, employees, and members of society).  Ethical conduct will be defined and discussed so  that students will be conscious of the complexities  of the concept of ethics, the consequences of making  decisions, and the importance of ethics in business  and society.",Professional,undergraduate,False,False,False,False,False,True
clayton,2026,2026-2027,ADMN,3111,Applied Economics,This course is a survey of the basic principles of macro and micro-economics with applications to the business world. This course will cover foundation terminology and concepts important for many advanced business courses. This course is not open to B.B.A. students and will not count toward a B.B.A.,Professional,undergraduate,False,False,False,False,False,True
clayton,2026,2026-2027,ADMN,3112,Applied Accounting,"This course is a survey of basic financial and managerial accounting for skilled workers and technicians moving into managerial roles. It covers theory, concepts, terminology, and generally accepted accounting principles. Emphasis is on preparing and interpreting accounting information for business decisions. This course is not open to BBA students and will not count toward a BBA.",Professional,undergraduate,False,False,False,False,False,True
clayton,2026,2026-2027,ADMN,3113,Survey-Statistical Meths-Tech,"TECH 3113 is an investigation of management decision-making and the role of data in this process. The course uses a hands-on computer software aided approach to teaching students the value of data in managerial decisions. This is an on-line course. The course work must be completed outside of the classroom. As is typical for online classes, all coursework is self-managed by the student, with support provided via online tools and resources.  This course is not open to B.B.A. students and will not count toward a B.B.A.",Professional,undergraduate,False,False,False,False,False,True
clayton,2026,2026-2027,ADMN,3115,Legal Issues-Admin./Tech. Man,"Managers are called on daily to make decisions that have legal implications. Some of the topics that this survey course will cover are basic legal concepts, legal implications of contracts, ethics, partnerships, corporations, employment law, legal rights and liabilities in the business environment. This course is not open to BBA students and does not count toward a BBA.",Professional,undergraduate,False,False,False,False,False,True
clayton,2026,2026-2027,ADMN,3125,Diversity in the Workplace,"This course explores workplace experiences related to race, gender, ethnicity, age, as well as additional multicultural dynamics to assess the interrelationship between diversity, leadership, and administrative outcomes. Historical and current issues are addressed, along with future perspectives on diversity management and organizational development.",Professional,undergraduate,True,False,False,False,False,True
clayton,2026,2026-2027,ADMN,3160,Technology Entrepreneurship,"This is a course focusing on the fundamentals of entrepreneurship and technology for both technical and applied business- minded students from all majors. This course explores the key theoretical and empirical perspectives on entrepreneurship relevant to the current global technology world. This course also provides students with the tools necessary to create and grow a successful innovative technology enterprise. Topics covered include discovering and analyzing new opportunities, preparing strategies of engagement and organizational implementation within an evolving technological environment.",Professional,undergraduate,False,False,False,False,False,True
clayton,2026,2026-2027,ADMN,3713,Work & Society,"The course will address how cultural values and social institutions affect and define work. The value that society assigns to different types of work and the impact of that valuation on the individual and members of various social groups will be considered, in light of shifting economies, business models and technology. Modern values will be compared to more traditional viewpoints, including the examination of the role of technology, money and individual choices.  As a cross-listed course, Work & Society may not be taken more than once using a different letter prefix, given that only one completion will be counted toward degree requirements.",Professional,undergraduate,False,False,False,False,False,True
clayton,2026,2026-2027,ADMN,4098,Internship,Students secure employment in supervised and approved work situations to further management and occupational skills. A minimum of 150 hours of work experience related to Technology Management is required.  Requires advisor approval.,Professional,undergraduate,False,False,False,False,False,True
clayton,2026,2026-2027,ADMN,4101,Human Resources for Admin/Tech,"A study of basic principles and practices of personnel management. This course contains topics such as recruiting, hiring, evaluating, training and developing employees with legal implications for each of these areas. This course is not open to BBA students and will not count toward a BBA.",Professional,undergraduate,False,False,False,False,False,True
clayton,2026,2026-2027,ADMN,4111,Leadership-Admin./Tech,"This course will study leadership styles and the impact of  these styles in a technology environment. Some of the  topics will include leadership in a changing environment,  qualities of successful leadership styles, developing  and appropriate leadership style, and others. This course is  not open to BBA students and will not count toward a  BBA.",Professional,undergraduate,False,False,False,False,False,True
clayton,2026,2026-2027,ADMN,4115,Global Technology,"This course examines the impact of globalization in a technological environment.  Using a systems approach, students will consider the challenges and opportunities that globalization creates and will explore how international forces shape decisions of organizations operating domestically and transnationally.",Professional,undergraduate,False,False,False,False,False,True
clayton,2026,2026-2027,ADMN,4200,Personal Financial Planning,"This is an introductory course on the process and regulatory practices of personal financial planning. Topics include personal sector cash flow, asset and liability management, life cycle financial planning, investment management, tax planning, retirement and estate planning and client communication strategies.",Professional,undergraduate,False,False,False,False,False,True
