university,academic_year,academic_year_label,department_code,course_number,title,description,broad_area,level,progressive_signal,western_canon_signal,climate_narrow_signal,climate_broad_signal,cross_listed,deduplicated
uwplatt,2026,2026-2027,AGBUS,1000,Agribusiness Professional Development I,"An introductory course for discovering personal and career goals, an exploration of the agribusiness industry, and preparation for securing an internship which is a requirement of the major.  Students will explore their career interests through reading, interviewing, job shadowing, and other career exploration activities.  Students will also prepare and have critiqued resumes, cover letters, and develop interviewing skills. Components: Class Typically Offered: Fall",Professional,graduate,False,False,False,False,False,True
uwplatt,2026,2026-2027,AGBUS,1500,Introduction to Agribusiness,"Presents a background of American agriculture; interrelationships of agricultural industries; economic concepts of production, form of markets, marketing and consumption of food in the United States; principles of management; and key issues and trends in agribusiness. Components: Class, Laboratory Typically Offered: Fall - Spring - Summer",Professional,graduate,False,False,False,False,False,True
uwplatt,2026,2026-2027,AGBUS,2330,"World Population, Food and Resources","Examine current and future world population trends; study world food problems, nutrition, world hunger, and food supply and demand situation; analyze impact of trade and foreign aid, scrutinize economic development and analyze the impact on resources for society and individuals under various cultural, religious, economic, geographical, and political conditions. Components: Class GE: SBS Social & Behavioral Sci Typically Offered: Fall",Professional,graduate,False,False,False,False,False,True
uwplatt,2026,2026-2027,AGBUS,2430,Agricultural Marketing,"Principles and organization of agricultural marketing; market functions, structure, and organizations; commodity and branded marketing. Components: Class Prereqs/Coreqs: P: AGBUS 1500 Typically Offered: Fall - Spring",Professional,graduate,False,False,False,False,False,True
uwplatt,2026,2026-2027,AGBUS,2500,Producer and Consumer Cooperatives,"Development, principles, legal basis, organization, finance, taxation, and management of agricultural, consumer, and industrial cooperatives. Components: Class Prereqs/Coreqs: P: AGBUS 1500 Typically Offered: Spring",Professional,graduate,False,False,False,False,False,True
uwplatt,2026,2026-2027,AGBUS,3410,Agricultural Consulting and Sales,"The history, image, and economic importance of agricultural sales and consulting are emphasized; the nature and functions of contemporary, professional sales consulting; and the selling process, as it applies to agricultural inputs and the food and fiber industry.  Current issues facing the industry. Components: Class Prereqs/Coreqs: P: AGBUS 1500 Typically Offered: Fall - Spring",Professional,graduate,False,False,False,False,False,True
uwplatt,2026,2026-2027,AGBUS,3420,Agricultural Finance,"Capital and credit needs of farmers, agencies supplying credit needs, farm loan analysis, budgeting and capital investment analysis. Components: Class Prereqs/Coreqs: P: AGBUS 1500 and ACCTING 2010 Typically Offered: Spring",Professional,graduate,False,False,False,False,False,True
uwplatt,2026,2026-2027,AGBUS,3430,Quantitative Methods in Farm and Agribusiness,"This course provides both introduction to and application of the quantitative tools often used in farm and agribusiness decision-making.  The toolbox will include decision analysis, statistical quality control, non-parametric methods, regression, correlation, tests for dependence, hypothesis testing, simulation, optimization, and others.  Review interpretation of agricultural statistics and journal articles. Components: Class Prereqs/Coreqs: P: AGBUS 1500 and MATH 1830 Typically Offered: Fall",Professional,graduate,False,False,False,False,False,True
uwplatt,2026,2026-2027,AGBUS,3450,Agribusiness Professional Development II,"Professional and career development towards obtaining career objectives.  Course objectives include planning and development of credentials needed to compete for a job position, learning how to package credentials and communicate them to prospective employers, and further developing professional skills and knowledge such as agribusiness ethics, etiquette, changing trends, and current events in the industry.  A primary course activity is the development of a personal portfolio that showcases special achievements in being visionary, managing budgets, communication, professionalism and stewardship of people. Components: Class Prereqs/Coreqs: P: AGBUS 1000 and junior standing Typically Offered: Fall",Professional,graduate,False,False,False,False,False,True
uwplatt,2026,2026-2027,AGBUS,3460,Farm Business Management,"The study and application of farm business management issues and systems including: current topics and trends; farm financial records; farm business arrangements and transfer planning; managing capital and human resources; tax management; farm business analysis, benchmarking and decision-making; government programs; and sustainability. Components: Laboratory, Class Prereqs/Coreqs: P: AGBUS 1500 and ACCTING 2010 or consent of instructor Typically Offered: Fall - Spring",Professional,graduate,False,False,False,True,False,True
uwplatt,2026,2026-2027,AGBUS,3500,Agricultural Prices and Risk Management,"Analysis of agricultural price trends; elasticity of demand and supply; seasonal prices; and price cycles, and price management tools and strategies.  Understanding the theory of demand and supply; how they change; and the impact on agricultural prices.  Understanding and applying the concepts of risk and risk management with special emphasis on price risk management. Components: Class Prereqs/Coreqs: P: AGBUS 2430 Typically Offered: Fall - Spring",Professional,graduate,False,False,False,False,False,True
uwplatt,2026,2026-2027,AGBUS,3520,Agricultural Law,"An introduction to the historical background of law and legal institutions; various legal contracts; law pertaining to real and personal property; landlord and tenant arrangements; agricultural business arrangements, partnerships, corporations, and cooperatives; legal aspects of sales transactions; legal aspects of credit; governmental regulatory agencies. Components: Class Prereqs/Coreqs: P: AGBUS 1500 Typically Offered: Spring",Professional,graduate,False,False,False,False,False,True
