university,academic_year,academic_year_label,department_code,course_number,title,description,broad_area,level,progressive_signal,western_canon_signal,climate_narrow_signal,climate_broad_signal,cross_listed,deduplicated
oregonstate,2026,2026-2027,ALS,LDEA,LOWER DIVISION ED ABROAD,This course is repeatable for 99 credits.,Professional,undergraduate,False,False,False,False,False,True
oregonstate,2026,2026-2027,ALS,UDEA,UPPER DIVISION ED ABROAD,This course is repeatable for 99 credits.,Professional,undergraduate,False,False,False,False,False,True
oregonstate,2026,2026-2027,ALS,002,LEADERSHIP,"Provides students with basic personal and interpersonal leadership skills that can be used within and outside of a work setting. Through practice, the leadership experience help students explore motivation, decision-making, time management, power, team building, conflict, ethics, dealing with change, communication skills, and diversity issues.",Professional,undergraduate,True,False,False,False,False,True
oregonstate,2026,2026-2027,ALS,107,CAMP ORIENTATION,Assists students of migrant worker background to develop successful skills adaptive to the culture of higher education.,Professional,undergraduate,False,False,False,False,False,True
oregonstate,2026,2026-2027,ALS,109,TRIO-SSS FIRST-YEAR STUDENT SUCCESS,"For TRIO-SSS students. Designed to ease their transition to college by providing technological and academic skills, as well as knowledge of resources and the information necessary to be successful students and productive citizens. Students will also learn the importance of self-reliance and the skills necessary to be self-sufficient.",Professional,undergraduate,False,False,False,False,False,True
oregonstate,2026,2026-2027,ALS,114,CAREER DECISION MAKING,"Students will become knowledgeable about the world of work and career development theories using career assessment, literature, media, and computer resources.",Professional,undergraduate,False,False,False,False,False,True
oregonstate,2026,2026-2027,ALS,116,ACADEMIC SUCCESS,"Assessment and development of strategies for succeeding in university-level academics. Topics include time management, goal setting, critical thinking, note taking, and study skills.",Professional,undergraduate,False,False,False,False,False,True
oregonstate,2026,2026-2027,ALS,139,WELCOME TO OSU: INTERNATIONAL FIRST YEAR EXPERIENCE,"A university integration class specifically designed for new students at Oregon State University.  Explore topics such as academic integrity, working with academic advisors, U.S. academic culture, navigating campus resources, communicating with professors, and integrating into the campus community.",Professional,undergraduate,False,False,False,False,False,True
oregonstate,2026,2026-2027,ALS,140,INTRODUCTION TO UNIVERSITY READING AND WRITING,"Students will strengthen their ability to comprehend and analyze a variety of texts. They will also improve the unity and coherence of their writing as well as develop techniques for writing in an academic setting. Students will focus on strategic reading and content analysis; comparing and contrasting ideas; considering different points of view; and linking cause and effect relationships. In addition, students will be introduced to concepts regarding academic accountability and using outside sources in their writing.",Professional,undergraduate,False,False,False,False,False,True
oregonstate,2026,2026-2027,ALS,141,INTRODUCTION TO UNIVERSITY LISTENING AND SPEAKING,"Students will improve their ability to understand main ideas, important details, and implied meanings of authentic academic speech. They will listen to audio and video lectures, participate in in-class discussions, improve their note-taking skills, and conduct basic research that they will present in formal and informal in-class presentations.",Professional,undergraduate,False,False,False,False,False,True
