university,department_code,course_number,title,description,progressive_signal,western_canon_signal,climate_narrow_signal,climate_broad_signal
University of Virginia,ENWR,210,Advanced Academic Writing,,False,False,False,False
University of Virginia,ENWR,230,Poetry Writing,,False,False,False,False
University of Virginia,ENWR,250,Fiction Writing,,False,False,False,False
University of Virginia,ENWR,270,News Writing,(S) Credits: 3 Back to Top | Print-Friendly Page (opens a new window) All catalogs © 2026 University of Virginia. Powered by Modern Campus Catalog™ .,False,False,False,False
University of Virginia,ENWR,106,Academic Writing II,"Covers elements of audience analysis, cohesion, focus, and style. Graded A+ to C- or NC. . Includes a tutorial at the Writing Center. Fulfills the first writing requirement. (Y) Prerequisites & Notes Prerequisite: ENWR 105. Credits: 3 Back to Top | Print-Friendly Page (opens a new window) All catalogs © 2026 University of Virginia. Powered by Modern Campus Catalog™ .",False,False,False,False
University of Virginia,ENWR,105,Academic Writing I,,False,False,False,False
University of Virginia,ENWR,331,Intermediate Poetry Writing I,,False,False,False,False
University of Virginia,ENWR,332,Intermediate Poetry Writing II,,False,False,False,False
University of Virginia,ENWR,351,Intermediate Fiction Writing,,False,False,False,False
University of Virginia,ENWR,372,Magazine Writing,,False,False,False,False
University of Virginia,ENWR,282,Television Texts; Scripting and Directing,Cross-listed as DRAM 282. (Y) Credits: 3 Back to Top | Print-Friendly Page (opens a new window) All catalogs © 2026 University of Virginia. Powered by Modern Campus Catalog™ .,False,False,False,False
University of Virginia,ENWR,220,Special Topics in Writing,(IR) Prerequisites & Notes Prerequisite: Completion of first writing requirement. Credits: 3 Back to Top | Print-Friendly Page (opens a new window) All catalogs © 2026 University of Virginia. Powered by Modern Campus Catalog™ .,False,False,False,False
University of Virginia,ENWR,370,Intermediate News Writing,,False,False,False,False
University of Virginia,ENWR,352,Intermediate Fiction Writing,,False,False,False,False
University of Virginia,ENWR,483,Advanced Poetry Writing I,Student work is discussed in class and in individual conferences. Reading in contemporary poetry is also assigned. May be repeated with different instructor. (Y) Prerequisites & Notes Prerequisite: Instructor permission. Credits: 3 Back to Top | Print-Friendly Page (opens a new window) All catalogs © 2026 University of Virginia. Powered by Modern Campus Catalog™ .,False,False,False,False
University of Virginia,ENWR,484,Advanced Poetry Writing II,,False,False,False,False
University of Virginia,ENWR,495,Independent Project in Creative Writing,,False,False,False,False
University of Virginia,ENWR,531,Advanced Poetry Writing,,False,False,False,False
University of Virginia,ENWR,496,Independent Project in Creative Writing,,False,False,False,False
University of Virginia,ENWR,541,Playwriting,,False,False,False,False
University of Virginia,ENWR,542,Playwriting,,False,False,False,False
University of Virginia,ENWR,110,Accelerated Academic Writing,"Designed for students scoring 490-660 on the SAT II Writing Test. Covers framing and developing effective academic arguments, with an emphasis on essays and reports. Graded A+ to C- or NC. Special topics sections are listed on the English department’s web site. Students whose student I.D. numbers end in an even digit must take ENWR 110 in the fall; those with I.D. numbers ending in an odd digit take it in the spring. (S) Credits: 3 Back to Top | Print-Friendly Page (opens a new window) All catalogs © 2026 University of Virginia. Powered by Modern Campus Catalog™ .",False,False,False,False
University of Virginia,ENWR,561,Scriptwriting,,False,False,False,False
University of Virginia,ENWR,301,Advanced Writing I,,False,False,False,False
University of Virginia,ACCT,202,Introductory Accounting II,"Approximately one third of the course deals with additional financial accounting topics, emphasizing managerial considerations and financial analysis. Cost accumulation, allocation, and product cost methods are studied in a manufacturing setting. Matters such as evaluation of performance planning, cost behavior, and special decisions are emphasized. Prerequisites & Notes Prerequisite: ACCT 201. Credits: 3 Back to Top | Print-Friendly Page (opens a new window) All catalogs © 2025 University of Virginia. Powered by Modern Campus Catalog™ .",False,False,False,False
University of Virginia,ACCT,311,Intermediate Accounting I,,False,False,False,False
University of Virginia,ACCT,201,Introductory Accounting,Credits: 3 Back to Top | Print-Friendly Page (opens a new window) All catalogs © 2025 University of Virginia. Powered by Modern Campus Catalog™ .,False,False,False,False
University of Virginia,ENWR,551,Advanced Fiction Writing,,False,False,False,False
University of Virginia,ENWR,302,Advanced Writing II,,False,False,False,False
University of Virginia,ACCT,445,Federal Taxation I,A study is made of problems covering personal and business tax situations. Several cases are assigned for which the student prepares illustrative tax returns. Prerequisites & Notes Prerequisite: ACCT 202 or instructor permission. Credits: 3 Back to Top | Print-Friendly Page (opens a new window) All catalogs © 2025 University of Virginia. Powered by Modern Campus Catalog™ .,False,False,False,False
University of Virginia,ENWR,371,News Magazine Writing,,False,False,False,False
University of Virginia,ENWR,481,Advanced Fiction Writing I,,False,False,False,False
University of Virginia,ACCT,531,Selected Topics in Advanced Accounting,,False,False,False,False
University of Virginia,ACCT,533,Accounting for Non-Business Organizations,Studies the theory and techniques of accounting and reporting for various funds and groups of accounts. Prerequisites & Notes Prerequisite: ACCT 312. Credits: 3 Back to Top | Print-Friendly Page (opens a new window) All catalogs © 2025 University of Virginia. Powered by Modern Campus Catalog™ .,False,False,False,False
University of Virginia,ACCT,312,Intermediate Accounting II,,False,False,False,False
University of Virginia,ACCT,546,Federal Taxation II,Prerequisites & Notes Prerequisite: ACCT 445. Credits: 3 Back to Top | Print-Friendly Page (opens a new window) All catalogs © 2025 University of Virginia. Powered by Modern Campus Catalog™ .,False,False,False,False
University of Virginia,AAS,101,Introduction to African-American and African Studies I,,False,False,False,False
University of Virginia,AAS,205,Travel Accounts of Africa,,False,False,False,False
University of Virginia,AAS,206,Travel Accounts of Africa,"Subjects change from term to term, and vary with instructor. (IR) Credits: 3 Back to Top | Print-Friendly Page (opens a new window) All catalogs © 2026 University of Virginia. Powered by Modern Campus Catalog™ .",False,False,False,False
University of Virginia,ENWR,482,Advanced Fiction Writing II,,False,False,False,False
University of Virginia,ENWR,552,Advanced Fiction Writing,,False,False,False,False
University of Virginia,AAS,305,Travel Accounts of Africa,,False,False,False,False
University of Virginia,AAS,324,Plantations in Africa and the Americas,,False,False,False,False
University of Virginia,AAS,401,Independent Study,,False,False,False,False
University of Virginia,AAS,406,Advanced Seminar in African-American and African Studies,,False,False,False,False
University of Virginia,ENWR,532,Advanced Poetry Writing,,False,False,False,False
University of Virginia,AAS,451,Directed Reading and Research,Students in the DMP enroll under these numbers for thesis writing. (Y) Credits: 6 Back to Top | Print-Friendly Page (opens a new window) All catalogs © 2026 University of Virginia. Powered by Modern Campus Catalog™ .,False,False,False,False
University of Virginia,AAS,528,Topics in Race Theory,,False,False,False,False
University of Virginia,AAS,102,Introduction to African-American and African Studies II,,False,False,False,False
University of Virginia,ACCT,711,Accounting Theory,"Includes the historical development of accounting thought and how it has been influenced by social, political, and economic forces. Analyzes the structure and methodology of theory; examines objectives, postulates, and principles; and explores income determination and the valuation, classification, and reporting of assets and equities. Prerequisites & Notes Prerequisite: ACCT 312. Credits: 3 Back to Top | Print-Friendly Page (opens a new window) All catalogs © 2025 University of Virginia. Powered by Modern Campus Catalog™ .",False,False,False,False
University of Virginia,HIAF,100,Introductory Seminar in African History,,False,False,False,False
University of Virginia,HIAF,201,Early African History,,False,False,False,False
University of Virginia,HIAF,202,Modern African History,,False,False,False,False
University of Virginia,HIAF,301,North African History from Carthage to the Algerian Revolution,,False,False,False,False
University of Virginia,HIAF,302,History of Southern Africa,,False,False,False,False
University of Virginia,ENWR,380,Academic and Professional Writing,,False,False,False,False
University of Virginia,HIAF,403,Topics in African History,,False,False,False,False
University of Virginia,HIAF,404,Independent Study in African History,,False,False,False,False
University of Virginia,ACCT,314,Cost Accounting,Prerequisites & Notes Prerequisite: ACCT 202. Credits: 3 Back to Top | Print-Friendly Page (opens a new window) All catalogs © 2025 University of Virginia. Powered by Modern Campus Catalog™ .,False,False,False,False
University of Virginia,RELA,276,African Religions in the Americas,,False,False,False,False
University of Virginia,HIAF,401,Seminar in African History,,False,False,False,False
University of Virginia,ACCT,521,Introductory Auditing,,False,False,False,False
University of Virginia,HIAF,203,The African Diaspora,,False,False,False,False
University of Virginia,AIRS,110,The Foundations of the U.S. Air Force,,False,False,False,False
University of Virginia,AAS,405,Advanced Seminar in African-American and African Studies,,False,False,False,False
University of Virginia,ACCT,525,Advanced Auditing,,False,False,False,False
University of Virginia,AIRS,210,The Evolution of Air and Space Power,"Presents historical examples of the development of Air Force capabilities and missions to demonstrate the evolution of what has become today’s USAF air and space power. Investigates several fundamental truths associated with war in the third dimension (e.g., Principles of War and Tenets of Air and Space Power). Considers the general element and employment of air and space power from institutional, doctrinal, and historical perspectives. Discusses the importance of Air Force core values using operational examples and historical Air Force leaders. Continues to develop communication skills. (S) Prerequisites & Notes Corequisite: AIRS A. Credits: 1 Back to Top | Print-Friendly Page (opens a new window) All catalogs © 2026 University of Virginia. Powered by Modern Campus Catalog™ .",False,False,False,False
University of Virginia,RELA,389,Christianity in Africa,,False,False,False,False
University of Virginia,AAS,452,Directed Reading and Research,,False,False,False,False
University of Virginia,RELA,275,African Religions,,False,False,False,False
University of Virginia,AIRS,320,Concepts of Air Force Leadership and Management,,False,False,False,False
