university,academic_year,academic_year_label,department_code,course_number,title,description,broad_area,level,progressive_signal,western_canon_signal,climate_narrow_signal,climate_broad_signal,cross_listed,deduplicated
holycross,2026,2026-2027,ACIP,203,Internship,"Typically Offered: Fall, Spring",Humanities,undergraduate,False,False,False,False,False,True
holycross,2026,2026-2027,ACIP,350,Exploring Data Science with Friends,"In this course you will explore the world of data science through the lens of nostalgic cultural references. This course will provide a broad introduction to the topics and tools used in the field of Data Science. We will use practical applications of data science techniques to learn new skills and address real world problems. We will also approach the field of Data Science from a critical perspective that examines the ethical implications of collecting data, data privacy, bias, and transparency. This course does not require a deep understanding of programming or statistics, but general knowledge of those topics will help inform your approach to the materials. Through our coursework you will learn to collect, clean, and analyze data. You will then learn how to communicate your findings using data visualization techniques. We will use data science tools like SQL, Tableau, Python and R to explore case studies inspired by the sitcom Friends that highlight ethical and cultural implications of data science. By examining case studies that reference nostalgic moments from the show, we will reflect on important considerations such as fairness and bias and the impact of data analytics on individuals and society.",Humanities,undergraduate,False,False,False,False,False,True
holycross,2026,2026-2027,ACIP,370,Leadership in the Sports World,"This course examines the qualities and skills necessary to lead a successful sport organization.  Students will research the sports industry and identify current and past leaders of sport organizations who have made a lasting impact on the industry with their respective leadership philosophies.  Strategic planning, goal setting, motivation, creative problem solving, effective communication and teamwork will be examined and practically applied through sports industry focused projects and activities.",Humanities,undergraduate,False,False,False,False,False,True
holycross,2026,2026-2027,ACIP,375,How Medical Clinicians Reason,"The content will expose students to the constructs and processes that govern critical thinking, including an assessment of the strengths and limitations of methods that clinicians typically utilize when exercising diagnostic reasoning. Upon completion of the course the student will be able to defend and employ a practical approach to hypothesis-driven diagnostic reasoning grounded in a self-validating epistemology. The course will aim to avoid the pitfalls of dense cognitive terminology and unduly abstract concepts, and will focus on concrete examples and practical approaches to reasoning in the care of patients. This course is tailored to students who are committed to or seriously considering a career in clinical care within a medical setting.",Humanities,undergraduate,False,False,False,False,False,True
holycross,2026,2026-2027,ACIP,376,The Primary Process in America,"The New Hampshire presidential primary is a distinctive institution in American politics. On one hand, its first-in-the nation status makes it a unique vantage point from which to forecast future national trends, making it an ideal laboratory for political science. On the other, it is a unique setting in which retail politics is still practiced, and in which citizens engage in politics at an extraordinarily intense level. This course places students at the center of the action of the New Hampshire primary, and at the center of intellectual inquiry about the current state of political parties, elections, and partisan competition in the US. Students are required to attend daily classes, to submit weekly papers, and to spend a minimum of 25 hours a week interning for a primary-related worksite.",Humanities,undergraduate,False,False,False,False,False,True
holycross,2026,2026-2027,ACIP,380,Academic Internship,An independent internship arranged by the student with a faculty sponsor. The internship commitment is eight hours per week. The student meets with the faculty sponsor in a weekly tutorial as well.,Humanities,undergraduate,False,False,False,False,False,True
holycross,2026,2026-2027,ACIP,381,Policy & Politics: The Midterm Elections,"This course is intended to provide students with an in-depth analysis of current political events as well as the consequences that relevant election outcomes may have on the major policy debates facing the nation and the world. This course will inspire creative and strategic thinking, and engage students in reasoned and thoughtful policy and politics discussions in a manner that rises above partisanship and focuses on informed debate, coupled with achieving political objectives.",Humanities,undergraduate,False,False,False,False,False,True
holycross,2026,2026-2027,ACIP,399,Business & Financial Management,"Through course content and internship experiences related to the industries of finance and business, students will gain a deeper understanding of contemporary economic, social, environmental, and ethical issues that individuals and organizations face in relation to the management of money. Students will reflect upon the skills necessary to achieve success in these industries and those talents that bridge multiple career paths. Specific emphasis will be on integrating ideas and diverse perspectives, discussing ideas with faculty and peers, formulating and analyzing new ideas, applying theories, developing strategies, and judging the value of information. Students will explore the role of relationships in business and examine their own strengths and weaknesses in developing interpersonal relationships. Finally, students will understand the strategies for the protection, accumulation and distribution of wealth while exploring the individual, societal, and ethical complexities associated with wealth.",Humanities,undergraduate,True,False,False,False,False,True
holycross,2026,2026-2027,ACCT,160,Sustainability and Citizenship,"This course will examine what it means to practice good organizational citizenship and how the introduction of sustainable practices can create value. We will explore how organizations make sound ethical decisions and how these decisions can bring about positive changes to address social and environmental concerns. The recognition of the need to be fiscally responsible and balance profit against these other factors including risk to achieve sustainable future growth will be discussed. The use of outside readings, real-world examples and a project with a sustainability focus will put the course material into practice.",Professional,undergraduate,False,False,False,True,False,True
holycross,2026,2026-2027,ACCT,181,Financial Accounting,"Introduces the fundamentals of the accounting process. Presents an overview of the accounting cycle, leading to preparation of basic financial statements including the income statement and balance sheet. Examines the proper accounting treatment of the major assets of merchandising and service companies including cash, accounts receivable, inventory, property, plant and equipment. Also includes an examination of economic activity related to liabilities and stockholders' equity. Introduces the cash flow statement and analysis of basic financial statements.",Professional,undergraduate,True,False,False,False,False,True
