university,academic_year,academic_year_label,department_code,course_number,title,description,broad_area,level,progressive_signal,western_canon_signal,climate_narrow_signal,climate_broad_signal,cross_listed,deduplicated
colorado,2026,2026-2027,ACCT,3220,Corporate Financial Reporting 1,First of a two-course sequence intended to provide students with increased fluency in the language of business. Focuses on U.S. and international accounting concepts and methods that underlie financial statements and the related implications for interpreting financial accounting information.,Professional,undergraduate,False,False,False,False,False,True
colorado,2026,2026-2027,ACCT,3225,Corporate Financial Reporting,"Intended to provide students with increased fluency in the language of business.  Focuses on U.S. and international accounting concepts and methods that underlie financial statements and the related implications for interpreting financial accounting information. Builds and extends detailed knowledge of preparation, analysis, and use of financial statements. No credit granted for this course and ACCT 3220 and ACCT 3230 .",Professional,undergraduate,False,False,False,False,False,True
colorado,2026,2026-2027,ACCT,3230,Corporate Financial Reporting 2,"Second in a two-course sequence building and extending detailed knowledge of preparation, analysis and use of financial statements.",Professional,undergraduate,False,False,False,False,False,True
colorado,2026,2026-2027,ACCT,3320,Cost Management,"Provides cost analysis for the support of management decision making. Analyzes activities, cost behavior, role of accounting in planning, financial modeling,and managerial uses of cost data.",Professional,undergraduate,False,False,False,False,False,True
colorado,2026,2026-2027,ACCT,3440,Income Taxation of Individuals,"Provides an overview of individual US federal income tax law.  Topics covered include tax formula and tax determination, filing status, gross income and exclusions, deductions, tax credits, and payment procedures.",Professional,undergraduate,False,False,False,False,False,True
colorado,2026,2026-2027,ACCT,3700,Accounting in a Global Economy,"This London-based global seminar introduces undergraduate students to transfer pricing, International Financial Reporting Standards (IFRS) and the impact of foreign exchange rates on financial reporting. Includes an IASB headquarter experience and presentations from multinational corporations and public accounting firms. It also includes experiential-based accounting learning in continental Europe.",Professional,undergraduate,False,False,False,False,False,True
colorado,2026,2026-2027,ACCT,4240,Advanced Financial Accounting,"Examines advanced financial accounting theory and practice, emphasizing U.S. and international accounting for business combinations, consolidated financial statements, and accounting for partnerships, not-for-profits and governments.",Professional,undergraduate,False,False,False,False,False,True
colorado,2026,2026-2027,ACCT,4250,Financial Statement Analysis,"Focuses on the use of U.S. and international accounting information by decision-makers external to the firm. Considers judgments made by investors, security analysts, bank lending officers, and auditors. Emphasizes impact of changes to financial statement elements, equity valuation and profitability analysis.",Professional,undergraduate,True,False,False,False,False,True
colorado,2026,2026-2027,ACCT,4540,Accounting Information Systems,Considers the interaction of accountants with information systems and the role of accounting information systems in business processes. Focuses on the tools used by accountants and provides an understanding of accounting as an information system.,Professional,undergraduate,False,False,False,False,False,True
colorado,2026,2026-2027,ACCT,4620,Auditing and Assurance Services,"Emphasizes the value of assurance services, including the market for financial-statement audits, and the audit decision process, from obtaining a client through planning and testing, to issuance of the audit report. Focuses on making judgments and decisions under conditions of uncertainty and continually evaluating the substance of business transactions over their form.",Professional,undergraduate,False,False,False,False,False,True
colorado,2026,2026-2027,ACCT,4821,Experimental Seminar: Financial Report for Complex Transactions,"Focuses on topics related to major financial events in the life of an organization (IPOs, mergers and acquisitions). Enhance the ability to understand the economic essence of important complex business transactions as linked to the financial reporting and tax issues surrounding these deals. Many fascinating and recent transactions will be examined in depth.",Professional,undergraduate,False,False,False,False,False,True
