university,academic_year,academic_year_label,department_code,course_number,title,description,broad_area,level,progressive_signal,western_canon_signal,climate_narrow_signal,climate_broad_signal,cross_listed,deduplicated
cornell,2020,2020-2021,AAS,2100,South Asian Diaspora,"This interdisciplinary course (with an emphasis in anthropology) will introduce students to the multiple routes/roots, lived experiences, and imagined worlds of South Asians who have traveled to various lands at different historical moments spanning Fiji, South Africa, Mauritius, Britain, Malaysia, United States, Trinidad, and even within South Asia itself such as the Tamil-speaking population of Sri Lanka. The course will begin with the labor migrations of the 1830s and continue up to the present period. The primary exercise will be to compare and contrast the varied expressions of the South Asian Diaspora globally in order to critically evaluate this transnational identity. Thus, we will ask what, if any, are the ties that bind a fifth-generation Indo-Trinidadian whose ancestor came to the New World as an indentured laborer or ""coolie"" in the mid-19th century to labor in the cane fields, to a Pakistani medical doctor who migrated to the United States in the late 1980s. If Diaspora violates a sense of identity based on territorial integrity, then could ""culture"" serve as the basis for a shared identity?",Social Sciences,graduate,yes,no,no,no,no,no
cornell,2020,2020-2021,AAS,2130,Introduction to Asian American History,"An introductory history of Chinese, Japanese, Asian Indians, Filipinos, and Koreans in the United States from the mid-nineteenth century to the 1990s. Major themes include racism and resistance, labor migration, community formation, imperialism, and struggles for equality.",Humanities,graduate,yes,no,no,no,no,no
cornell,2020,2020-2021,AAS,3312,Afro-Asia: Futurism and Feminism,"This course explores cultural representations of Afro-Asian intimacies and coalition in novels, songs, films, paintings, and poems. What affinities, loves and thefts, and tensions are present in cultural forms such as anime, jazz, kung fu, and K-pop? Students will consider the intersections and overlap between African and Asian diasporic cultures in global cities such as New York, Chicago, Havana, Lahore, Kingston, and Hong Kong to ask the question: when did Africa and Asia first encounter each other? This will be contextualized through a political and historical lens of the formation of a proto-Global South in the early twentieth, Afro-futurism, women of color feminisms, and Third World solidarity and internationalism. Tackling issues of race, gender, sexuality, and resistance, this seminar also reckons with the intertwined legacies of the institutions of African enslavement and Asian indenture by reading the novels of Patricia Powell and the paintings of Kehinde Wiley, for instance. Students will work in groups to produce Afro-Asia DJ visual soundtracks as part of the final project.",Social Sciences,graduate,yes,no,no,no,no,no
cornell,2020,2020-2021,AAS,4040,Fictions of Dictatorship,"Fictions of dictatorship, as termed by scholar Lucy Burns, denote both the narratives and spectacles produced by authoritarian governments and the performances, events, and cultural objects that work against these states of exception. This course will critically examine histories of dictatorships, through both documentary &amp; creative forms (i.e. novels, memoirs, and performance) and with a geographic focus on Asia and Latin America, in order to understand authoritarian returns in our present historical moment.",Humanities,graduate,no,no,no,no,no,no
cornell,2020,2020-2021,AAS,4123,"Archipelagoes: Cartographies of Race, Sound, and Sexuality","Considering the archipelagic turn, this course takes a transnational approach to geographies, ecologies, literatures, and cultures of island chains. How are archipelagoes understood in relations of power to the mainland? Taking up Michelle Stephens and Brian Roberts ""Archipelagic American Studies"" students will depart from the conventional and continental definition of the United States and center a hemispheric approach to the Americas. Students will also consider the soundscapes of island cartographies and how gender and sexuality is mapped onto the land. How do island formations provide a framework for understanding militarization, Indigenous sovereignty, creolization, extractive capitalism, and imperialism? Archival analysis as well as experimentation with digital cartography and DJ'ing tools to produce original research theorizing islands will be part of the final project.",Humanities,graduate,yes,no,no,no,no,no
cornell,2020,2020-2021,AAS,4555,Race and Time,"Race, comparison, and time—what do these terms have to do with each other? What does it mean to be in time, or out of time? What are some other ways of inhabiting time, or of being inhabited by time? What is the time of the racialized subject? How is time and temporality figured in literature? Some of the writers we'll be reading in the course include Carolivia Herron, Carlos Bulosan, Jamaica Kincaid, Theresa Hak Kyung Cha, and Joy Kogawa. Other readings will be drawn from a range of disciplines, including selections from the work of Johannes Fabian, Frantz Fanon, Dipesh Chakrabarty, Walter Benjamin, Ernst Bloch, Cathy Caruth, Thomas Bender and David Wellbery.",Humanities,graduate,yes,no,no,no,no,no
cornell,2020,2020-2021,AAS,4950,Independent Study,Independent reading course in topics not covered in regularly scheduled courses. Students select a topic in consultation with the faculty member who has agreed to supervise the course work.,Other,graduate,no,no,no,no,no,no
cornell,2020,2020-2021,AEM,1101,Design Your Dyson,"This course is designed to help first-year students develop a deeper comprehension of the undergraduate experience within the Dyson School of Applied Economics and Management. Through this course students will be exposed to the expectations and opportunities available throughout their academic journey. The Design Your Dyson course seeks to create and foster a sense of community around shared interests, enhance problem-solving skills through design thinking, and help students formulate collaborative and lasting connections to peers, faculty, staff, alumni and the Dyson School. The course also will help students understand, and benefit from, the location of Dyson as part of both the SC Johnson College of Business and the College of Agriculture and Life Sciences.",Social Sciences,graduate,no,no,no,no,no,no
cornell,2020,2020-2021,AEM,1600,The Business of Modern Medicine,"Medicine as practiced today is no longer just a profession. It has become a multi trillion dollar business. The purpose of this lecture series is to present the changes that have occurred in medical practice through the eyes of someone who has lived and practiced medicine during these tumultuous times. Students will gain a better understanding of how third-party payers, the government and other regulatory agencies, new technology, and entrepreneurship have impacted the medical profession and healthcare in general. Upon completion of the course, students will have the capacity to asses their future career paths not only from a scientific, but a business perspective.",Medical Sciences,graduate,no,no,no,no,no,no
cornell,2020,2020-2021,AEM,1700,Foundations of Leadership Development,"Dyson Leadership Development provides a rich, varied, curricular and co-curricular experience for students to equip, inspire and empower students to have the capacity to lead in their communities on a local, national and global scale. Leadership is a personal, relational, and collective learning journey for achieving goals that result in positive change. The basic premise of Leadership in Dyson is leading for a better world. The foundations of this course include self-awareness, personal development, self-management, team building, networking, and community engagement. This introductory course is geared towards students in the Leadership minor.",Professional,graduate,no,no,no,no,no,no
cornell,2020,2020-2021,AEM,2010,Spreadsheet Modeling for Management and Economics,"This course will be developed as a data-driven, model-based approach to decision-making. Most applications will rely on the standard array of Excel functionality but other platforms (e.g., Access, SQL, presentation software) may be employed. A unique feature of this course will be applications drawn from the diverse program areas of the Dyson School: management; international development/trade; environment/resource economics; and food/agricultural economics. Case material will be contributed by the companies from the DUAC. Key topics will include: Optimization (Solver), Data graphing, Financial modeling, Ethical/social dimensions of IT, Forecasting, Pivot tables, Exponential smoothing, and Simulation.",Social Sciences,graduate,yes,no,no,no,no,no
cornell,2020,2020-2021,AEM,2011,Spreadsheet Modeling for Non-Dyson Majors,"This course, while Excel based, will emphasize applied decision making in the business world. This introductory course is not simply a ""how to use Excel"" course, rather it covers the theory behind decision making and applying analytic tools like Excel to various business scenarios.  Understanding the value of such skills, this course will introduce students to methods used to navigate tools and applications, or typical business scenarios where such capabilities can be leveraged in business.",Professional,graduate,no,no,no,no,no,no
cornell,2020,2020-2021,AEM,2100,Introductory Statistics,"Introduces statistical methods. Topics include the descriptive analysis of data, probability concepts and distributions, estimation and hypothesis testing, regression, and correlation analysis. Includes an introduction to Minitab, a statistical software package.",STEM,graduate,no,no,no,no,no,no
