university,academic_year,academic_year_label,department_code,course_number,title,description,broad_area,level,progressive_signal,western_canon_signal,climate_narrow_signal,climate_broad_signal,cross_listed,deduplicated
washburn,2026,2026-2027,AI,108,"AI Fundamentals: Machines, Minds, and Society","Introduction to AI from a non-programming perspective. Topics include AI history, foundational concepts, and applications such as natural language processing, computer vision, image recognition, robotics, autonomous systems, and generative AI (e.g., LLMs). Students will also examine AI's transformative impact on industries and academia, along with its social and ethical implications. This course does not apply toward CIS departmental major requirements. Prerequisites: EN 101",Other,undergraduate,False,False,False,False,False,True
washburn,2026,2026-2027,AI,208,AI Methods: From Concepts to Applications,"A hands-on approach to Artificial Intelligence (AI) from a non-programming perspective. Topics include prompt engineering, APIs for large language models (LLMs), and no-code AI. Students will explore AI tools such as ChatGPT, Gemini, and DALL-E and discuss ethical considerations and emerging trends. This course does not apply toward CIS departmental major requirements. Prerequisites: AI 108",Other,undergraduate,False,False,False,False,False,True
washburn,2026,2026-2027,AD,199,Special Topics in African American and African Diaspora Studies,Topics will vary from semester to semester and will be announced in advance. May be taken for more than one semester. Prerequisite: Consent of Instructor,Other,undergraduate,True,False,False,False,False,True
washburn,2026,2026-2027,AD,200,Introduction to Critical Race & Ethnic Studies,"This course provides students with foundational knowledge of Critical Race Theory as a lens to understand race and ethnicity as socially, culturally, and historically constructed realities that sustain unequal distribution of political and socioeconomic power and inform constructions of identity and community. Students will gain skills to work toward an anti-racist and socially just society. Prerequisite: None.",Other,undergraduate,True,False,False,False,False,True
washburn,2026,2026-2027,AD,299,Special Topics in African American and African Diaspora Studies,Topics will vary from semester to semester and will be announced in advance. May be taken for more than one semester. Prerequisite: Consent of Instructor,Other,undergraduate,True,False,False,False,False,True
washburn,2026,2026-2027,AD,395,Directed Study in African American and African Diaspora Studies,Directed readings and individualized research program on a subject relevant to African American and African Diaspora Studies and with the guidance of a professor. May be taken for more than one semester. Prerequisite: Consent of Instructor and approval of the AAADS Director.,Other,undergraduate,True,False,False,False,False,True
washburn,2026,2026-2027,AD,397,Internship in AAADS,A program for junior/senior–level undergraduates offered in cooperation with a local or state agency with the supervision of faculty and/or the AAADS Director. Prerequisite: Approval of the AAADS Director.,Other,undergraduate,False,False,False,False,False,True
washburn,2026,2026-2027,AD,399,Special Topics in African American and African Diaspora Studies,Topics will vary from semester to semester and will be announced in advance. May be taken for more than one semester. Prerequisite: Consent of Instructor,Other,undergraduate,True,False,False,False,False,True
washburn,2026,2026-2027,AC,224,Financial Accounting,"The study of accounting as a means of communicating financial information about the activities of business enterprises. Emphasis is placed on concepts and principles underlying the measurement of income and financial position and how this information may be used to evaluate the progress of a firm. Prerequisites: EN 101 and MA 116 (recommended) or MA 112 , or MA 123 , or MA 141 , or MA 151 .",Other,undergraduate,False,False,False,False,False,True
washburn,2026,2026-2027,AC,225,Managerial Accounting,"The development and use of information in the accounting system as a management decision tool. Prerequisites: AC 224 , EN 101 , MA 116 (recommended) or MA 112 , or MA 123 , or MA 141 ,or MA 151 , and BU 250 or concurrent enrollment.",Other,undergraduate,False,False,False,False,False,True
