university,academic_year,academic_year_label,department_code,course_number,title,description,broad_area,level,progressive_signal,western_canon_signal,climate_narrow_signal,climate_broad_signal,cross_listed,deduplicated
hartwick,2025,2024-2025,ACCO,101,Financial Accounting,"Introduction to the financial information critical to decision-making for managers. This course includes reporting and interpreting: the financial position of the firm, the components of that position, the results of its operations, and its cash flows. Coverage includes accounting principles and concepts as well as models for financial analysis and ethical decision-making.",Humanities,undergraduate,False,False,False,False,False,True
hartwick,2025,2024-2025,ACCO,345,Personal Financial Planning,"This course considers the various financial issues and decisions that confront individuals and the tools and techniques used to support ethical decision making. Issues include the assessment of family net worth, credit sources and uses, risk management including insurance, and budgeting, with a focus on asset management and retirement planning. Note: ACCO 345 is equivalent to FINA 345 . Offered periodically.",Humanities,undergraduate,False,False,False,False,False,True
hartwick,2025,2024-2025,ACCO,349,Managerial Accounting II,"This course provides expanded coverage of Managerial Accounting I topics such as costing systems (job order, process, operations, activity based), budgeting, standard costs and performance evaluation, and cost-volume-profit analysis. In addition, there is a focus on critical analysis and ethical decision making in an international and quality control context.",Humanities,undergraduate,False,False,False,False,False,True
hartwick,2025,2024-2025,ACCO,395,Internship in Accounting,This course provides opportunities to further the professional career development of students. Placements are designed to utilize academic concepts in a work setting and to bring practical knowledge of a functioning business back to the classroom.,Humanities,undergraduate,False,False,False,False,False,True
hartwick,2025,2024-2025,ACCO,415,VITA Quality Reviewer,The Quality Reviewer will ensure that tax preparations of the tax preparers meet IRS standards before submission of documents. This is a role that is taken by students who have already completed one year as a Tax Preparer in VITA.,Humanities,undergraduate,True,False,False,False,False,True
hartwick,2025,2024-2025,ACCO,102,Managerial Accounting,"The ethical decision-making role of the accountant in the planning, controlling and evaluation activities is analyzed. Emphasis is on cost behavior analysis, choice of costing systems, establishing standards and evaluating performance, short-term decision making and long-term capital budgeting. Also covered are responsibility accounting, divisional performance measurement and control, and evaluation of cost centers.",Humanities,undergraduate,False,False,False,False,False,True
hartwick,2025,2024-2025,ACCO,123,Introduction to Tax Preparation,"The Introduction to Tax Preparation course provides a critical introduction to the basic tax rules that students will need to apply when completing their own income tax returns or when serving as a community volunteer tax preparer as part of the Hartwick's Spring IRS VITA Basic Certificate Program. Course coverage includes basic individual tax preparation procedures and tax law compliance. The course is designed to give students an experiential learning opportunity through case studies and practice projects following the IRS VITA training panels. Upon successful course completion, students will earn three IRS VITA certificates and will become eligible to serve as IRS VITA volunteers during the Spring semester.",Humanities,undergraduate,False,False,False,False,False,True
hartwick,2025,2024-2025,ACCO,321,Intermediate Accounting I,"A concentration on the analysis of accounting data with an emphasis on the synthesis of theory with problem application. Intermediate level topics include cash; receivables; inventory valuation; long-term assets, both tangible and intangible; and liabilities.",Humanities,undergraduate,False,False,False,False,False,True
hartwick,2025,2024-2025,ACCO,421,Auditing,"A study of auditing standards and procedures with an emphasis on ethical professional conduct. Included are legal and ethical responsibilities, internal control standards, evidence gathering techniques and accounting engagement reports.",Humanities,undergraduate,False,False,False,False,False,True
hartwick,2025,2024-2025,ACCO,490,Senior Project,"This course requires completion, in consultation with an accounting faculty member, of a research paper that demonstrates the ability to investigate and analyze some current accounting issue/topic and effectively communicate the results of that research. The project integrates accounting’s conceptual framework, and should include the formulation of a hypothesis, complete with ethical considerations, capable of public defense.",Humanities,undergraduate,False,False,False,False,False,True
hartwick,2025,2024-2025,ACCO,333,VITA Tax Preparer,"VITA Program incorporates the concept of service learning by giving students a mentored practical experience in the preparation of federal and state income tax returns for individuals. The students will have received their IRS certifications prior to the course and will provide tax assistant service in the IRS VITA program at Hartwick College. In addition, this course will cover various case studies on advanced issues in taxation to complement preparation and reflection on the preparation of tax returns. The student will have the opportunity to sharpen her/his tax knowledge, develop her/is client communication skills, build her/his resume, and make a measurable difference in the Oneonta community.",Humanities,undergraduate,False,False,False,False,False,True
hartwick,2025,2024-2025,ACCO,344,Taxation II,"A continuation of the study of the U.S. federal tax structure and the Internal Revenue code. Emphasis is on tax provisions relating to partnerships, corporations, estates and trusts. Also, includes more complex individual tax topics with greater emphasis on tax research to support ethical decision-making.",Humanities,undergraduate,False,False,False,False,False,True
hartwick,2025,2024-2025,ACCO,322,Intermediate Accounting II,"A continuation of the analytical approach begun in Intermediate Accounting I. Topics include liabilities, pensions, taxes, leases, stockholders' equity, the Statement of Cash Flows, and the application of revenue and expense recognition principles. The technical rules, alternative presentations, and ethical dimensions of financial decisions/disclosures are also explored.",Humanities,undergraduate,True,False,False,False,False,True
hartwick,2025,2024-2025,ANTH,181,Intro Forensic Osteology,"Working in the Anthropology Laboratory of Hartwick's Yager Hall, students will receive a whole or partial skeleton which they will analyze and describe. They will learn what information can be gleaned from bones and study some important cases, including remains from Stonehenge, Inca tombs in the Andes, 1607 Jamestown, and other examples. We will discuss contentious issues in forensic osteology, and each student will share a presentation on an issue, method or discovery near the end of the semester. Evaluation will consist of regular quizzes dealing with the bones themselves, the description of their skeletons, the final presentation, and three essay exams combining casework and theory.",Social Sciences,undergraduate,False,False,False,False,False,True
hartwick,2025,2024-2025,ANTH,105,Intro to Anthropology,"An introduction to anthropology and the study of human culture. Basic concepts, aims and methods of biological, archaeological and cultural anthropology. Emphasis on the origins of humankind, human biological variation, the relationship of the human past to present and the comparative study of contemporary cultures. Required course for anthropology majors.",Social Sciences,undergraduate,False,False,False,False,False,True
hartwick,2025,2024-2025,ACCO,495,Internship in Accounting,This course provides opportunities to further the professional career development of students. Placements are designed to utilize academic concepts in a work setting and to bring practical knowledge of a functioning business back to the classroom.,Humanities,undergraduate,False,False,False,False,False,True
hartwick,2025,2024-2025,ANTH,237,Peoples & Cultures,"Survey of peoples and cultures of different regions of the world including: Native North America, Mesoamerica, South America, Africa, the Middle East, Asia. Specific emphases vary by instructor. May be taken more than once for credit.",Social Sciences,undergraduate,False,False,False,False,False,True
hartwick,2025,2024-2025,ANTH,223,Cultural Anthropology,"The comparative study of cultures and societies. The nature of culture and its relation to society; patterns, similarities and differences found in material culture, language, kinship, economic, political and religious institutions of different peoples; and their interpretations.",Social Sciences,undergraduate,False,False,False,False,False,True
hartwick,2025,2024-2025,ACCO,491,Contemporary Issues in Accounting,"A capstone course that requires students to examine and research (independently and/or jointly) one or more current complex accounting issues. An examination of the accounting for and reporting of complex areas of accounting including partnerships (organization and liquidation), business combinations, and international transactions. The ethical dilemmas associated with these areas are also discussed. Contemporary events and presentation of student research will be the basis for class discussion and analysis. Topics will integrate national and international accounting: theory, standards, practice, regulatory considerations, economic effects, behavioral outcomes, and ethical dimensions with information system design and control processes.",Humanities,undergraduate,False,False,False,False,False,True
hartwick,2025,2024-2025,ANTH,239,Ancient Civilization & Empires,"This class is an introduction to the rise and fall of early complex societies around the world. Throughout the semester we will survey the development of ancient states and empires in both the Old and New Worlds, and examine the archaeological evidence that is used to study these societies. From the rise of Ancient Egypt to the collapse of the Mayan civilization, we will examine questions such as the definition of states and civilizations as well as the reasons for their change over time.",Social Sciences,undergraduate,False,False,False,False,False,True
hartwick,2025,2024-2025,ANTH,225,Fundamentals of Archaeology,"The systematic study of the fundamental principles of method and theory in archaeology: establishing cultural chronologies, reconstructing extinct life ways and interpreting the archaeological record. General theory in archaeology. Contemporary archaeology.",Social Sciences,undergraduate,False,False,False,False,False,True
hartwick,2025,2024-2025,ANTH,322,The Anthropology of War,"Cross-cultural description of warfare and organized violence, and critical evaluation of explanations of the causes of war. Consequences of war for demography, biology and culture. Peaceful and violent means of conflict resolution.",Social Sciences,undergraduate,False,False,False,False,False,True
hartwick,2025,2024-2025,ANTH,235,Biological Anthropology,A review of current evolutionary theory as it applies to the fossil evidence of human evolution; human genetics and natural selection today; genetics and environmental factors in the origin of the human family; introduction to primate behavior and ecology. Lectures and laboratory.,Social Sciences,undergraduate,False,False,False,False,False,True
hartwick,2025,2024-2025,ANTH,305,Hunters and Gatherers,Comparative analysis of hunting and gathering societies in today’s world as well as the prehistoric past. Emphasis on specific cultural groups and environments to demonstrate diversity and continuity; examination of such societies as exemplars of “human nature.”,Social Sciences,undergraduate,True,False,False,False,False,True
hartwick,2025,2024-2025,ANTH,341,Cultural Ecology,Analysis of the relationships between culture and environment: the ways in which populations adapt to and transform their environments; ways in which environments condition cultural development.,Social Sciences,undergraduate,False,False,False,False,False,True
hartwick,2025,2024-2025,ANTH,340,Primate Behavior and Ecology,"Comparative analysis of non-human primates, and application to questions of human evolution and biological bases for human behavior. Primate taxonomy, evolution and ecology are studied for their relevance to primate behavior and adaptation.",Social Sciences,undergraduate,False,False,False,False,False,True
hartwick,2025,2024-2025,ANTH,335,Third World Studies,"Studies of selected areas such as: Africa south of the Sahara, China, India, the Islamic world, Latin America, the Pacific and Southeast Asia. An examination of the pre- colonial kinship, economic, political and religious systems and related ecological and population patterns; the impact of European expansion upon them; the rise and fulfillment of independence movements; and contemporary political, economic, social, ecological and population patterns-all viewed in the perspective of the world as a system of interdependent societies and states. May be taken more than once for credit.",Social Sciences,undergraduate,True,False,False,True,False,True
hartwick,2025,2024-2025,ANTH,361,Medical Anthropology,"Anthropological approach to the study of health problems. The use of clinical, ecological, and ethnographic material to study the causes and effects of disease on humans. The impact of population growth and migration; human contact through time and space on societies around the world. A bridge between the health sciences and anthropology.",Social Sciences,undergraduate,False,False,False,True,False,True
hartwick,2025,2024-2025,ACCO,342,Taxation I,"A study of the U.S. federal tax structure and the Internal Revenue Code. Emphasis is placed on the theoretical foundation and practical application of tax law as they relate to individuals (including computerized tax preparation). Also included is an introduction to corporation and partnership taxation, as are tax law formation and tax research to support ethical decision making.",Humanities,undergraduate,False,False,False,False,False,True
hartwick,2025,2024-2025,ANTH,381,Anthropological Forensics,"This course is a bare-bones introduction to what we can learn from human bones. Students who hope to attend graduate school in forensic anthropology or who wish to take an intensive summer course can benefit from working with the bones, learning to identify them; they will learn how to identify age and sex, fractures and other injuries, diseases, etc. and how to estimate height in order to identify individuals and/or compile information about past populations.",Social Sciences,undergraduate,False,False,False,False,False,True
hartwick,2025,2024-2025,ANTH,387,Ethnographic Methods,"Problems, theories and techniques of anthropological fieldwork. Students conduct field studies in the local area. Methods of building rapport with subjects. Data collection, analysis and interpretation. Cross-cultural comparisons. Class presentations.",Social Sciences,undergraduate,False,False,False,False,False,True
hartwick,2025,2024-2025,ANTH,388,History of Anthro Thought,The history and integration of anthropological theory as social science. An introduction to anthropology's great thinkers; major issues of 19th and 20th century thought. Required core course for anthropology majors.,Social Sciences,undergraduate,False,False,False,False,False,True
hartwick,2025,2024-2025,ANTH,405,Capstone in Anthro Issues,"This course focuses on contemporary anthropological theory, seeking to introduce students to the process and emergence of anthropological discovery and debate. The emphasis is on process rather than content, with three primary features: (1) concentrating on anthropology that has been produced in the last decade; (2) relating student interests to this material through an independent research project or commentary; and (3) discussing materials that have been assembled by students, especially in the latter portions of the course. It is assumed that students will already be familiar with the history of anthropological thought, as well as an understanding of the theories and methods from the major anthropological subdisciplines.",Social Sciences,undergraduate,False,False,False,False,False,True
hartwick,2025,2024-2025,ANTH,363,Political Archaeology,"This class examines the way in which archaeologists understand the exercise of power and organization of political systems in ancient societies, as well as the way in which archaeological knowledge is used for political purposes in the modern world. In this course we will question the definitions used to identify and categorize political systems, explore how relationships of power are reflected in the material record, and investigate the way contemporary groups project archaeological claims onto modern society",Social Sciences,undergraduate,False,False,False,False,False,True
hartwick,2025,2024-2025,ANTH,421,Field Research in Archaeology,Excavation and analysis of archaeological materials.,Social Sciences,undergraduate,False,False,False,False,False,True
hartwick,2025,2024-2025,ANTH,490,Senior Thesis in Anthropology,"Student-initiated project of substantial scope done under faculty guidance. Integration of theory, method, and fact in cultural, biological or archaeological anthropology.",Social Sciences,undergraduate,False,False,False,False,False,True
hartwick,2025,2024-2025,ART,165,3-Dimensional Design,"In this course, students investigate basic three-dimensional design components such as line, color, mass, form, structure, and surface. Students experience the design process through the synthesis of drawing and fabrication of three-dimensional forms using paper, wood, plaster and mixed media. Participants learn to use hand tools and power equipment in the execution of the projects. This is a core course. Art majors should take this course during their first year or immediately following the declaration of a studio art major or minor. Suitable for majors and non-majors.",Humanities,undergraduate,False,False,False,False,False,True
hartwick,2025,2024-2025,ART,116,Creative Technology,"This foundation art course covers 21st century digital media skills through the use of software and hardware to create physical and virtual experiences. It explores the creation and manipulation of 2D images and 3D models and how to prepare them for use to be printed on paper, in plastic, laser etched into wood, and set up as an augmented reality experience. The course explores 2D images utilizing Adobe Photoshop and 3D models utilizing Tinkercad and Vectary. Augmented reality experiences are created using the Artivive and Membit apps. This is a core art course. Art majors should take this course during their first year or immediately following the declaration of a studio art major or minor. Offered yearly, suitable for non-majors.",Humanities,undergraduate,False,False,False,False,False,True
hartwick,2025,2024-2025,ART,115,2-Dimensional Design,"Using black and white media as well as color paint, students will gain practical and applicable skills while exploring basic design elements and principles common to all two-dimensional art (drawing, painting, photography, printmaking, filmmaking, etc) during this seven-week Foundation course. The formal elements, their qualities and interactions (line, shape, value, texture, mass, color, pictorial space, etc.) are investigated in the creative pursuit of compositional variety, visual cohesiveness, and issues of meaningful content. Images and issues from a wide range of perceptual, cultural, historical, and contemporary contexts will be examined. Participants will engage in constructive debate through regular written and verbal critiques. Recommended for non-majors or those with little previous experience as well as those who declare the studio major after their first semester at Hartwick. This is a core course offered for art majors. Those who declare later should take ART 113 as soon as possible in their academic career.  Suitable for majors and non-majors.",Humanities,undergraduate,False,False,False,False,False,True
hartwick,2025,2024-2025,ART,212,Figure Drawing,"Drawing from the human form, students interpret the structure, anatomy, movement, mass, volume, and weight of the human figure in various two- dimensional media, emphasizing expressive and design elements. They will draw both from live models and from other sources. Participants will engage in constructive debate through regular written and verbal critiques. This course is an alternative core requirement for studio art majors. Offered in J Term.",Humanities,undergraduate,False,False,False,False,False,True
